Date,Close/Last,Date_numeric
2020-12-08,3702.25,2266
2020-12-07,3691.96,2265
2020-12-04,3699.12,2262
2020-12-03,3666.72,2261
2020-12-02,3669.01,2260
2020-12-01,3662.45,2259
2020-11-30,3621.63,2258
2020-11-27,3638.35,2255
2020-11-25,3629.65,2253
2020-11-24,3635.41,2252
2020-11-23,3577.59,2251
2020-11-20,3557.54,2248
2020-11-19,3581.87,2247
2020-11-18,3567.79,2246
2020-11-17,3609.53,2245
2020-11-16,3626.91,2244
2020-11-13,3585.15,2241
2020-11-12,3537.01,2240
2020-11-11,3572.66,2239
2020-11-10,3545.53,2238
2020-11-09,3550.5,2237
2020-11-06,3509.44,2234
2020-11-05,3510.45,2233
2020-11-04,3443.44,2232
2020-11-03,3369.02,2231
2020-11-02,3310.24,2230
2020-10-30,3269.96,2227
2020-10-29,3310.11,2226
2020-10-28,3271.03,2225
2020-10-27,3390.68,2224
2020-10-26,3400.97,2223
2020-10-23,3465.39,2220
2020-10-22,3453.49,2219
2020-10-21,3435.56,2218
2020-10-20,3443.12,2217
2020-10-19,3426.92,2216
2020-10-16,3483.81,2213
2020-10-15,3483.34,2212
2020-10-14,3488.67,2211
2020-10-13,3511.93,2210
2020-10-12,3534.22,2209
2020-10-09,3477.13,2206
2020-10-08,3446.83,2205
2020-10-07,3419.45,2204
2020-10-06,3360.95,2203
2020-10-05,3408.63,2202
2020-10-02,3348.44,2199
2020-10-01,3380.8,2198
2020-09-30,3363.0,2197
2020-09-29,3335.47,2196
2020-09-28,3351.6,2195
2020-09-25,3298.46,2192
2020-09-24,3246.59,2191
2020-09-23,3236.92,2190
2020-09-22,3315.57,2189
2020-09-21,3281.06,2188
2020-09-18,3319.47,2185
2020-09-17,3357.01,2184
2020-09-16,3385.49,2183
2020-09-15,3401.2,2182
2020-09-14,3383.54,2181
2020-09-11,3340.97,2178
2020-09-10,3339.19,2177
2020-09-09,3398.96,2176
2020-09-08,3331.84,2175
2020-09-04,3426.96,2171
2020-09-03,3455.06,2170
2020-09-02,3580.84,2169
2020-09-01,3526.65,2168
2020-08-31,3500.31,2167
2020-08-28,3508.01,2164
2020-08-27,3484.55,2163
2020-08-26,3478.73,2162
2020-08-25,3443.62,2161
2020-08-24,3431.28,2160
2020-08-21,3397.16,2157
2020-08-20,3385.51,2156
2020-08-19,3374.85,2155
2020-08-18,3389.78,2154
2020-08-17,3381.99,2153
2020-08-14,3372.85,2150
2020-08-13,3373.43,2149
2020-08-12,3380.35,2148
2020-08-11,3333.69,2147
2020-08-10,3360.47,2146
2020-08-07,3351.28,2143
2020-08-06,3349.16,2142
2020-08-05,3327.77,2141
2020-08-04,3306.51,2140
2020-08-03,3294.61,2139
2020-07-31,3271.12,2136
2020-07-30,3246.22,2135
2020-07-29,3258.44,2134
2020-07-28,3218.44,2133
2020-07-27,3239.41,2132
2020-07-24,3215.63,2129
2020-07-23,3235.66,2128
2020-07-22,3276.02,2127
2020-07-21,3257.3,2126
2020-07-20,3251.84,2125
2020-07-17,3224.73,2122
2020-07-16,3215.57,2121
2020-07-15,3226.56,2120
2020-07-14,3197.52,2119
2020-07-13,3155.22,2118
2020-07-10,3185.04,2115
2020-07-09,3152.05,2114
2020-07-08,3169.94,2113
2020-07-07,3145.32,2112
2020-07-06,3179.72,2111
2020-07-02,3130.01,2107
2020-07-01,3115.86,2106
2020-06-30,3100.29,2105
2020-06-29,3053.24,2104
2020-06-26,3009.05,2101
2020-06-25,3083.76,2100
2020-06-24,3050.33,2099
2020-06-23,3131.29,2098
2020-06-22,3117.86,2097
2020-06-19,3097.74,2094
2020-06-18,3115.34,2093
2020-06-17,3113.49,2092
2020-06-16,3124.74,2091
2020-06-15,3066.59,2090
2020-06-12,3041.31,2087
2020-06-11,3002.1,2086
2020-06-10,3190.14,2085
2020-06-09,3207.18,2084
2020-06-08,3232.39,2083
2020-06-05,3193.93,2080
2020-06-04,3112.35,2079
2020-06-03,3122.87,2078
2020-06-02,3080.82,2077
2020-06-01,3055.73,2076
2020-05-29,3044.31,2073
2020-05-28,3029.73,2072
2020-05-27,3036.13,2071
2020-05-26,2991.77,2070
2020-05-22,2955.45,2066
2020-05-21,2948.51,2065
2020-05-20,2971.61,2064
2020-05-19,2922.94,2063
2020-05-18,2953.91,2062
2020-05-15,2863.7,2059
2020-05-14,2852.5,2058
2020-05-13,2820.0,2057
2020-05-12,2870.12,2056
2020-05-11,2930.32,2055
2020-05-08,2929.8,2052
2020-05-07,2881.19,2051
2020-05-06,2848.42,2050
2020-05-05,2868.44,2049
2020-05-04,2842.74,2048
2020-05-01,2830.71,2045
2020-04-30,2912.43,2044
2020-04-29,2939.51,2043
2020-04-28,2863.39,2042
2020-04-27,2878.48,2041
2020-04-24,2836.74,2038
2020-04-23,2797.8,2037
2020-04-22,2799.31,2036
2020-04-21,2736.56,2035
2020-04-20,2823.16,2034
2020-04-17,2874.56,2031
2020-04-16,2799.55,2030
2020-04-15,2783.36,2029
2020-04-14,2846.06,2028
2020-04-13,2761.63,2027
2020-04-09,2789.82,2023
2020-04-08,2749.98,2022
2020-04-07,2659.41,2021
2020-04-06,2663.68,2020
2020-04-03,2488.65,2017
2020-04-02,2526.9,2016
2020-04-01,2470.5,2015
2020-03-31,2584.59,2014
2020-03-30,2626.65,2013
2020-03-27,2541.47,2010
2020-03-26,2630.07,2009
2020-03-25,2475.56,2008
2020-03-24,2447.33,2007
2020-03-23,2237.4,2006
2020-03-20,2304.92,2003
2020-03-19,2409.39,2002
2020-03-18,2398.1,2001
2020-03-17,2529.19,2000
2020-03-16,2386.13,1999
2020-03-13,2711.02,1996
2020-03-12,2480.64,1995
2020-03-11,2741.38,1994
2020-03-10,2882.23,1993
2020-03-09,2746.56,1992
2020-03-06,2972.37,1989
2020-03-05,3023.94,1988
2020-03-04,3130.12,1987
2020-03-03,3003.37,1986
2020-03-02,3090.23,1985
2020-02-28,2954.22,1982
2020-02-27,2978.76,1981
2020-02-26,3116.39,1980
2020-02-25,3128.21,1979
2020-02-24,3225.89,1978
2020-02-21,3337.75,1975
2020-02-20,3373.23,1974
2020-02-19,3386.15,1973
2020-02-18,3370.29,1972
2020-02-14,3380.16,1968
2020-02-13,3373.94,1967
2020-02-12,3379.45,1966
2020-02-11,3357.75,1965
2020-02-10,3352.09,1964
2020-02-07,3327.71,1961
2020-02-06,3345.78,1960
2020-02-05,3334.69,1959
2020-02-04,3297.59,1958
2020-02-03,3248.92,1957
2020-01-31,3225.52,1954
2020-01-30,3283.66,1953
2020-01-29,3273.4,1952
2020-01-28,3276.24,1951
2020-01-27,3243.63,1950
2020-01-24,3295.47,1947
2020-01-23,3325.54,1946
2020-01-22,3321.75,1945
2020-01-21,3320.79,1944
2020-01-17,3329.62,1940
2020-01-16,3316.81,1939
2020-01-15,3289.29,1938
2020-01-14,3283.15,1937
2020-01-13,3288.13,1936
2020-01-10,3265.35,1933
2020-01-09,3274.7,1932
2020-01-08,3253.05,1931
2020-01-07,3237.18,1930
2020-01-06,3246.28,1929
2020-01-03,3234.85,1926
2020-01-02,3257.85,1925
2019-12-31,3230.78,1923
2019-12-30,3221.29,1922
2019-12-27,3240.02,1919
2019-12-26,3239.91,1918
2019-12-24,3223.38,1916
2019-12-23,3224.01,1915
2019-12-20,3221.22,1912
2019-12-19,3205.37,1911
2019-12-18,3191.14,1910
2019-12-17,3192.52,1909
2019-12-16,3191.45,1908
2019-12-13,3168.8,1905
2019-12-12,3168.57,1904
2019-12-11,3141.63,1903
2019-12-10,3132.52,1902
2019-12-09,3135.96,1901
2019-12-06,3145.91,1898
2019-12-05,3117.43,1897
2019-12-04,3112.76,1896
2019-12-03,3093.2,1895
2019-12-02,3113.87,1894
2019-11-29,3140.98,1891
2019-11-27,3153.63,1889
2019-11-26,3140.52,1888
2019-11-25,3133.64,1887
2019-11-22,3110.29,1884
2019-11-21,3103.54,1883
2019-11-20,3108.46,1882
2019-11-19,3120.18,1881
2019-11-18,3122.03,1880
2019-11-15,3120.46,1877
2019-11-14,3096.63,1876
2019-11-13,3094.04,1875
2019-11-12,3091.84,1874
2019-11-11,3087.01,1873
2019-11-08,3093.08,1870
2019-11-07,3085.18,1869
2019-11-06,3076.78,1868
2019-11-05,3074.62,1867
2019-11-04,3078.27,1866
2019-11-01,3066.91,1863
2019-10-31,3037.56,1862
2019-10-30,3046.77,1861
2019-10-29,3036.89,1860
2019-10-28,3039.42,1859
2019-10-25,3022.55,1856
2019-10-24,3010.29,1855
2019-10-23,3004.52,1854
2019-10-22,2995.99,1853
2019-10-21,3006.72,1852
2019-10-18,2986.2,1849
2019-10-17,2997.95,1848
2019-10-16,2989.69,1847
2019-10-15,2995.68,1846
2019-10-14,2966.15,1845
2019-10-11,2970.27,1842
2019-10-10,2938.13,1841
2019-10-09,2919.4,1840
2019-10-08,2893.06,1839
2019-10-07,2938.79,1838
2019-10-04,2952.01,1835
2019-10-03,2910.63,1834
2019-10-02,2887.61,1833
2019-10-01,2940.25,1832
2019-09-30,2976.74,1831
2019-09-27,2961.79,1828
2019-09-26,2977.62,1827
2019-09-25,2984.87,1826
2019-09-24,2966.6,1825
2019-09-23,2991.78,1824
2019-09-20,2992.07,1821
2019-09-19,3006.79,1820
2019-09-18,3006.73,1819
2019-09-17,3005.7,1818
2019-09-16,2997.96,1817
2019-09-13,3007.39,1814
2019-09-12,3009.57,1813
2019-09-11,3000.93,1812
2019-09-10,2979.39,1811
2019-09-09,2978.43,1810
2019-09-06,2978.71,1807
2019-09-05,2976.0,1806
2019-09-04,2937.78,1805
2019-09-03,2906.27,1804
2019-08-30,2926.46,1800
2019-08-29,2924.58,1799
2019-08-28,2887.94,1798
2019-08-27,2869.16,1797
2019-08-26,2878.38,1796
2019-08-23,2847.11,1793
2019-08-22,2922.95,1792
2019-08-21,2924.43,1791
2019-08-20,2900.51,1790
2019-08-19,2923.65,1789
2019-08-16,2888.68,1786
2019-08-15,2847.6,1785
2019-08-14,2840.6,1784
2019-08-13,2926.32,1783
2019-08-12,2883.09,1782
2019-08-09,2918.65,1779
2019-08-08,2938.09,1778
2019-08-07,2883.98,1777
2019-08-06,2881.77,1776
2019-08-05,2844.74,1775
2019-08-02,2932.05,1772
2019-08-01,2953.56,1771
2019-07-31,2980.38,1770
2019-07-30,3013.18,1769
2019-07-29,3020.97,1768
2019-07-26,3025.86,1765
2019-07-25,3003.67,1764
2019-07-24,3019.56,1763
2019-07-23,3005.47,1762
2019-07-22,2985.03,1761
2019-07-19,2976.61,1758
2019-07-18,2995.11,1757
2019-07-17,2984.42,1756
2019-07-16,3004.04,1755
2019-07-15,3014.3,1754
2019-07-12,3013.77,1751
2019-07-11,2999.91,1750
2019-07-10,2993.07,1749
2019-07-09,2979.63,1748
2019-07-08,2975.95,1747
2019-07-05,2990.41,1744
2019-07-03,2995.82,1742
2019-07-02,2973.01,1741
2019-07-01,2964.33,1740
2019-06-28,2941.76,1737
2019-06-27,2924.92,1736
2019-06-26,2913.78,1735
2019-06-25,2917.38,1734
2019-06-24,2945.35,1733
2019-06-21,2950.46,1730
2019-06-20,2954.18,1729
2019-06-19,2926.46,1728
2019-06-18,2917.75,1727
2019-06-17,2889.67,1726
2019-06-14,2886.98,1723
2019-06-13,2891.64,1722
2019-06-12,2879.84,1721
2019-06-11,2885.72,1720
2019-06-10,2886.73,1719
2019-06-07,2873.34,1716
2019-06-06,2843.49,1715
2019-06-05,2826.15,1714
2019-06-04,2803.27,1713
2019-06-03,2744.45,1712
2019-05-31,2752.06,1709
2019-05-30,2788.86,1708
2019-05-29,2783.02,1707
2019-05-28,2802.39,1706
2019-05-24,2826.06,1702
2019-05-23,2822.24,1701
2019-05-22,2856.27,1700
2019-05-21,2864.36,1699
2019-05-20,2840.23,1698
2019-05-17,2859.53,1695
2019-05-16,2876.32,1694
2019-05-15,2850.96,1693
2019-05-14,2834.41,1692
2019-05-13,2811.87,1691
2019-05-10,2881.4,1688
2019-05-09,2870.72,1687
2019-05-08,2879.42,1686
2019-05-07,2884.05,1685
2019-05-06,2932.47,1684
2019-05-03,2945.64,1681
2019-05-02,2917.52,1680
2019-05-01,2923.73,1679
2019-04-30,2945.83,1678
2019-04-29,2943.03,1677
2019-04-26,2939.88,1674
2019-04-25,2926.17,1673
2019-04-24,2927.25,1672
2019-04-23,2933.68,1671
2019-04-22,2907.97,1670
2019-04-18,2905.03,1666
2019-04-17,2900.45,1665
2019-04-16,2907.06,1664
2019-04-15,2905.58,1663
2019-04-12,2907.41,1660
2019-04-11,2888.32,1659
2019-04-10,2888.21,1658
2019-04-09,2878.2,1657
2019-04-08,2895.77,1656
2019-04-05,2892.74,1653
2019-04-04,2879.39,1652
2019-04-03,2873.4,1651
2019-04-02,2867.24,1650
2019-04-01,2867.19,1649
2019-03-29,2834.4,1646
2019-03-28,2815.44,1645
2019-03-27,2805.37,1644
2019-03-26,2818.46,1643
2019-03-25,2798.36,1642
2019-03-22,2800.71,1639
2019-03-21,2854.88,1638
2019-03-20,2824.23,1637
2019-03-19,2832.57,1636
2019-03-18,2832.94,1635
2019-03-15,2822.48,1632
2019-03-14,2808.48,1631
2019-03-13,2810.92,1630
2019-03-12,2791.52,1629
2019-03-11,2783.3,1628
2019-03-08,2743.07,1625
2019-03-07,2748.93,1624
2019-03-06,2771.45,1623
2019-03-05,2789.65,1622
2019-03-04,2792.81,1621
2019-03-01,2803.69,1618
2019-02-28,2784.49,1617
2019-02-27,2792.38,1616
2019-02-26,2793.9,1615
2019-02-25,2796.11,1614
2019-02-22,2792.67,1611
2019-02-21,2774.88,1610
2019-02-20,2784.7,1609
2019-02-19,2779.76,1608
2019-02-15,2775.6,1604
2019-02-14,2745.73,1603
2019-02-13,2753.03,1602
2019-02-12,2744.73,1601
2019-02-11,2709.8,1600
2019-02-08,2707.88,1597
2019-02-07,2706.05,1596
2019-02-06,2731.61,1595
2019-02-05,2737.7,1594
2019-02-04,2724.87,1593
2019-02-01,2706.53,1590
2019-01-31,2704.1,1589
2019-01-30,2681.05,1588
2019-01-29,2640.0,1587
2019-01-28,2643.85,1586
2019-01-25,2664.76,1583
2019-01-24,2642.33,1582
2019-01-23,2638.7,1581
2019-01-22,2632.9,1580
2019-01-18,2670.71,1576
2019-01-17,2635.96,1575
2019-01-16,2616.1,1574
2019-01-15,2610.3,1573
2019-01-14,2582.61,1572
2019-01-11,2596.26,1569
2019-01-10,2596.64,1568
2019-01-09,2584.96,1567
2019-01-08,2574.41,1566
2019-01-07,2549.69,1565
2019-01-04,2531.94,1562
2019-01-03,2447.89,1561
2019-01-02,2510.03,1560
2018-12-31,2506.85,1558
2018-12-28,2485.74,1555
2018-12-27,2488.83,1554
2018-12-26,2467.7,1553
2018-12-24,2351.1,1551
2018-12-21,2416.62,1548
2018-12-20,2467.42,1547
2018-12-19,2506.96,1546
2018-12-18,2546.16,1545
2018-12-17,2545.94,1544
2018-12-14,2599.95,1541
2018-12-13,2650.54,1540
2018-12-12,2651.07,1539
2018-12-11,2636.78,1538
2018-12-10,2637.72,1537
2018-12-07,2633.08,1534
2018-12-06,2695.95,1533
2018-12-04,2700.06,1531
2018-12-03,2790.37,1530
2018-11-30,2760.17,1527
2018-11-29,2737.76,1526
2018-11-28,2743.79,1525
2018-11-27,2682.17,1524
2018-11-26,2673.45,1523
2018-11-23,2632.56,1520
2018-11-21,2649.93,1518
2018-11-20,2641.89,1517
2018-11-19,2690.73,1516
2018-11-16,2736.27,1513
2018-11-15,2730.2,1512
2018-11-14,2701.58,1511
2018-11-13,2722.18,1510
2018-11-12,2726.22,1509
2018-11-09,2781.01,1506
2018-11-08,2806.83,1505
2018-11-07,2813.89,1504
2018-11-06,2755.45,1503
2018-11-05,2738.31,1502
2018-11-02,2723.06,1499
2018-11-01,2740.37,1498
2018-10-31,2711.74,1497
2018-10-30,2682.63,1496
2018-10-29,2641.25,1495
2018-10-26,2658.69,1492
2018-10-25,2705.57,1491
2018-10-24,2656.1,1490
2018-10-23,2740.69,1489
2018-10-22,2755.88,1488
2018-10-19,2767.78,1485
2018-10-18,2768.78,1484
2018-10-17,2809.21,1483
2018-10-16,2809.92,1482
2018-10-15,2750.79,1481
2018-10-12,2767.13,1478
2018-10-11,2728.37,1477
2018-10-10,2785.68,1476
2018-10-09,2880.34,1475
2018-10-08,2884.43,1474
2018-10-05,2885.57,1471
2018-10-04,2901.61,1470
2018-10-03,2925.51,1469
2018-10-02,2923.43,1468
2018-10-01,2924.59,1467
2018-09-28,2913.98,1464
2018-09-27,2914.0,1463
2018-09-26,2905.97,1462
2018-09-25,2915.56,1461
2018-09-24,2919.37,1460
2018-09-21,2929.67,1457
2018-09-20,2930.75,1456
2018-09-19,2907.95,1455
2018-09-18,2904.31,1454
2018-09-17,2888.8,1453
2018-09-14,2904.98,1450
2018-09-13,2904.18,1449
2018-09-12,2888.92,1448
2018-09-11,2887.89,1447
2018-09-10,2877.13,1446
2018-09-07,2871.68,1443
2018-09-06,2878.05,1442
2018-09-05,2888.6,1441
2018-09-04,2896.72,1440
2018-08-31,2901.52,1436
2018-08-30,2901.13,1435
2018-08-29,2914.04,1434
2018-08-28,2897.52,1433
2018-08-27,2896.74,1432
2018-08-24,2874.69,1429
2018-08-23,2856.98,1428
2018-08-22,2861.82,1427
2018-08-21,2862.96,1426
2018-08-20,2857.05,1425
2018-08-17,2850.13,1422
2018-08-16,2840.69,1421
2018-08-15,2818.37,1420
2018-08-14,2839.96,1419
2018-08-13,2821.93,1418
2018-08-10,2833.28,1415
2018-08-09,2853.58,1414
2018-08-08,2857.7,1413
2018-08-07,2858.45,1412
2018-08-06,2850.4,1411
2018-08-03,2840.35,1408
2018-08-02,2827.22,1407
2018-08-01,2813.36,1406
2018-07-31,2816.29,1405
2018-07-30,2802.6,1404
2018-07-27,2818.82,1401
2018-07-26,2837.44,1400
2018-07-25,2846.07,1399
2018-07-24,2820.4,1398
2018-07-23,2806.98,1397
2018-07-20,2801.83,1394
2018-07-19,2804.49,1393
2018-07-18,2815.62,1392
2018-07-17,2809.55,1391
2018-07-16,2798.43,1390
2018-07-13,2801.31,1387
2018-07-12,2798.29,1386
2018-07-11,2774.02,1385
2018-07-10,2793.84,1384
2018-07-09,2784.17,1383
2018-07-06,2759.82,1380
2018-07-05,2736.61,1379
2018-07-03,2713.22,1377
2018-07-02,2726.71,1376
2018-06-29,2718.37,1373
2018-06-28,2716.31,1372
2018-06-27,2699.63,1371
2018-06-26,2723.06,1370
2018-06-25,2717.07,1369
2018-06-22,2754.88,1366
2018-06-21,2749.76,1365
2018-06-20,2767.32,1364
2018-06-19,2762.59,1363
2018-06-18,2773.75,1362
2018-06-15,2779.66,1359
2018-06-14,2782.49,1358
2018-06-13,2775.63,1357
2018-06-12,2786.85,1356
2018-06-11,2782.0,1355
2018-06-08,2779.03,1352
2018-06-07,2770.37,1351
2018-06-06,2772.35,1350
2018-06-05,2748.8,1349
2018-06-04,2746.87,1348
2018-06-01,2734.62,1345
2018-05-31,2705.27,1344
2018-05-30,2724.01,1343
2018-05-29,2689.86,1342
2018-05-25,2721.33,1338
2018-05-24,2727.76,1337
2018-05-23,2733.29,1336
2018-05-22,2724.44,1335
2018-05-21,2733.01,1334
2018-05-18,2712.97,1331
2018-05-17,2720.13,1330
2018-05-16,2722.46,1329
2018-05-15,2711.45,1328
2018-05-14,2730.13,1327
2018-05-11,2727.72,1324
2018-05-10,2723.07,1323
2018-05-09,2697.79,1322
2018-05-08,2671.92,1321
2018-05-07,2672.63,1320
2018-05-04,2663.42,1317
2018-05-03,2629.73,1316
2018-05-02,2635.67,1315
2018-05-01,2654.8,1314
2018-04-30,2648.05,1313
2018-04-27,2669.91,1310
2018-04-26,2666.94,1309
2018-04-25,2639.4,1308
2018-04-24,2634.56,1307
2018-04-23,2670.29,1306
2018-04-20,2670.14,1303
2018-04-19,2693.13,1302
2018-04-18,2708.64,1301
2018-04-17,2706.39,1300
2018-04-16,2677.84,1299
2018-04-13,2656.3,1296
2018-04-12,2663.99,1295
2018-04-11,2642.19,1294
2018-04-10,2656.87,1293
2018-04-09,2613.16,1292
2018-04-06,2604.47,1289
2018-04-05,2662.84,1288
2018-04-04,2644.69,1287
2018-04-03,2614.45,1286
2018-04-02,2581.88,1285
2018-03-29,2640.87,1281
2018-03-28,2605.0,1280
2018-03-27,2612.62,1279
2018-03-26,2658.55,1278
2018-03-23,2588.26,1275
2018-03-22,2643.69,1274
2018-03-21,2711.93,1273
2018-03-20,2716.94,1272
2018-03-19,2712.92,1271
2018-03-16,2752.01,1268
2018-03-15,2747.33,1267
2018-03-14,2749.48,1266
2018-03-13,2765.31,1265
2018-03-12,2783.02,1264
2018-03-09,2786.57,1261
2018-03-08,2738.97,1260
2018-03-07,2726.8,1259
2018-03-06,2728.12,1258
2018-03-05,2720.94,1257
2018-03-02,2691.25,1254
2018-03-01,2677.67,1253
2018-02-28,2713.83,1252
2018-02-27,2744.28,1251
2018-02-26,2779.6,1250
2018-02-23,2747.3,1247
2018-02-22,2703.96,1246
2018-02-21,2701.33,1245
2018-02-20,2716.26,1244
2018-02-16,2732.22,1240
2018-02-15,2731.2,1239
2018-02-14,2698.63,1238
2018-02-13,2662.94,1237
2018-02-12,2656.0,1236
2018-02-09,2619.55,1233
2018-02-08,2581.0,1232
2018-02-07,2681.66,1231
2018-02-06,2695.14,1230
2018-02-05,2648.94,1229
2018-02-02,2762.13,1226
2018-02-01,2821.98,1225
2018-01-31,2823.81,1224
2018-01-30,2822.43,1223
2018-01-29,2853.53,1222
2018-01-26,2872.87,1219
2018-01-25,2839.25,1218
2018-01-24,2837.54,1217
2018-01-23,2839.13,1216
2018-01-22,2832.97,1215
2018-01-19,2810.3,1212
2018-01-18,2798.03,1211
2018-01-17,2802.56,1210
2018-01-16,2776.42,1209
2018-01-12,2786.24,1205
2018-01-11,2767.56,1204
2018-01-10,2748.23,1203
2018-01-09,2751.29,1202
2018-01-08,2747.71,1201
2018-01-05,2743.15,1198
2018-01-04,2723.99,1197
2018-01-03,2713.06,1196
2018-01-02,2695.81,1195
2017-12-29,2673.61,1191
2017-12-28,2687.54,1190
2017-12-27,2682.62,1189
2017-12-26,2680.5,1188
2017-12-22,2683.34,1184
2017-12-21,2684.57,1183
2017-12-20,2679.25,1182
2017-12-19,2681.47,1181
2017-12-18,2690.16,1180
2017-12-15,2675.81,1177
2017-12-14,2652.01,1176
2017-12-13,2662.85,1175
2017-12-12,2664.11,1174
2017-12-11,2659.99,1173
2017-12-08,2651.5,1170
2017-12-07,2636.98,1169
2017-12-06,2629.27,1168
2017-12-05,2629.57,1167
2017-12-04,2639.44,1166
2017-12-01,2642.22,1163
2017-11-30,2647.58,1162
2017-11-29,2626.07,1161
2017-11-28,2627.04,1160
2017-11-27,2601.42,1159
2017-11-24,2602.42,1156
2017-11-22,2597.08,1154
2017-11-21,2599.03,1153
2017-11-20,2582.14,1152
2017-11-17,2578.85,1149
2017-11-16,2585.64,1148
